timestamp	session	ioa	asdu	value	quality	iv	cot
2026-03-26 17:56:42.991	cl2	684	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	686	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	692	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	694	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	700	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	702	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	708	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	710	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	716	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	718	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	724	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	726	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	732	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	734	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	740	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	742	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	748	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	750	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	756	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	758	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	764	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	766	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	772	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	774	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	780	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	782	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	788	30	0	0	0	20
2026-03-26 17:56:42.993	cl2	790	36	0.0	0	0	20
2026-03-26 17:56:42.993	cl2	796	30	0	0	0	20
2026-03-26 17:56:42.993	cl2	798	36	0.0	0	0	20
2026-03-26 18:00:14.763	cl2	5	36	6.0	0	1	20
2026-03-26 17:56:42.983	cl2	13	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	21	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	29	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	37	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	45	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	53	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	61	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	69	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	77	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	85	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	93	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	101	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	109	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	117	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	125	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	133	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	141	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	149	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	150	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	157	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	165	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	173	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	181	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	189	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	197	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	205	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	213	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	221	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	229	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	237	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	245	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	253	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	261	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	269	36	0.0	0	0	20
